Brand,Model,Tipe Aliran / Bentuk
AeroPress,AeroPress Premium / Clear / Original / Go,Hybrid / Pressure (Sistem piston/tekan)
AeroPress,AeroPress XL,Hybrid / Pressure (Kapasitas ekstra besar)
AeroPress,Flow Control Filter Cap,Aksesori No-Bypass
Akirakoki,Diamond Filter Dripper,Conical
April Coffee,Glass Dripper,Flat-Bottom
April Coffee,Ceramic Dripper,Flat-Bottom
April Coffee,Plastic Dripper,Flat-Bottom
BEANDY,Silk Dripper,Flat-Bottom
Bee House,Ceramic Dripper,Trapezoid
Bonmac,BM-1,Trapezoid
Bonmac,BM-2,Trapezoid
Brewista,Tornado,Conical
Brewista,Tornado Duo,Conical
CAFEC,Flower Dripper 1 Cup,Conical
CAFEC,Flower Dripper 2 Cup,Conical
CAFEC,Flower Dripper 4 Cup,Conical
CAFEC,Deep 27,Conical
CAFEC,Deep 45,Conical
Ceado,Hoop Brewer,No-Bypass
Chemex,Classic Series,Conical / All-in-One
Chemex,Glass Handle Series,Conical / All-in-One
CT62,CT62 Brewer,Flat Bottom
CT62,CT62 Transit,Flat Bottom
CT62,CT62 Glass Brewer,Flat Bottom
CT62,CT62 Ceramic Brewer,Flat Bottom
December Coffee,December Dripper,Adjustable Flat-Bottom
Fellow,Stagg X,Flat-Bottom
Fellow,Stagg XF,Flat-Bottom
Graycano,Graycano Brewer,Conical
Hario,Pegasus,Trapezoid
Hario,V60-03,Conical
Hario,V60 Switch,Immersion Hybrid
Hario,V60 NEO,Fast Flow Conical
Hario,Mugen,Conical
Hario,V60-01,Conical
Hario,V60-02,Conical
Hario,V60 Suiren,Conical
Hario,V60 Kasuya,Conical
Hario,Zebrang V60,Conical
Hero,Hero Dripper,Conical
Hero,Hero Flat,Flat-Bottom
Kalita,Hasami HA101,Trapezoid
Kalita,Hasami HA102,Trapezoid
Kalita,Wave 155,Flat-Bottom
Kalita,Wave 185,Flat-Bottom
Kalita,Tsubame Wave 155,Flat Bottom
Kalita,Tsubame Wave 185,Flat Bottom
KINTO,SCS Brewer 2 Cups,Conical
KINTO,SCS Brewer 4 Cups,Conical
Kono,Meimon MD-21,Conical
Kono,Meimon MDN-21,Conical
Loveramics,Dale Harris Strong,Conical
Loveramics,Dale Harris Sweet,Conical
Loveramics,Dale Harris Smooth,Conical
Mazelab,SOLO Solid,Hybrid Flat-Conical
Mazelab,SOLO Glow,Hybrid Flat-Conical
Mazelab,SOLO Terra,Hybrid Flat-Conical
Melitta,Signature,Trapezoid
Melitta,Classic Pour Over,Trapezoid
MHW-3BOMBER,Formula Dripper,Conical
MHW-3BOMBER,Elf Dripper,Flat-Bottom
MHW-3BOMBER,Flash Constant Temperature,Conical
MHW-3BOMBER,Sonic S7,Conical
MHW-3BOMBER,Sonic S5,Conical
MK,MK Dripper,Conical
Next Level,Pulsar,Flat-Bottom / No-Bypass
Next Level,LVL-10,Flat-Bottom / No-Bypass
Orea,V3,Flat-Bottom
Orea,V3 Ice,Flat-Bottom
Orea,O1,Flat-Bottom
Orea,V4 Narrow,Flat-Bottom Modular
Orea,V4 Wide,Flat-Bottom Modular
Orea,Z1,Zero-Bypass
Orea,V2,Flat Bottom
Orea,Big Boy,Flat Bottom
Origami,Dripper S,Hybrid Conical
Origami,Dripper M,Hybrid Conical
Origami,Pinn,Deep Conical
Origami,Air S,Hybrid Conical
Origami,Air M,Hybrid Conical
Saint Anthony,Phoenix 70,Flat-Bottom
SIBARIST,Booster Dripper,Conical
SUJI,SD1,Conical
SUJI,SD1R,Conical
SUJI,Panca,Flat-Bottom
SUJI,Wave Chihiro Edition,Flat-Bottom
SUJI,Crystal,Conical
SUJI,Trapezoid 101,Trapezoid
SUJI,Trapezoid 102,Trapezoid
SUJI,Wave 155,Flat-Bottom
SUJI,Wave 185,Flat-Bottom
SUJI,V60-01,Conical
SUJI,V60-02,Conical
Tiamo,HG Dripper,Conical
Timemore,Crystal Eye 01,Conical
Timemore,Crystal Eye 02,Conical
Timemore,B75,Flat-Bottom
Timemore,Matt Winton Vector Crystal Eye,Conical
Timemore,Crystal Eye Ice,Conical
Torch,Mountain Dripper,Hybrid
Torch,Donut Dripper,Conical
UFO,UFO Dripper,Flat-Bottom
Yasukiyo,Ceramic Dripper,Conical