Proses pasca panen,Deskripsi Singkat / Cara Kerja,Dampak pada Profil Rasa (Cup Profile)
Washed (Full Wash),"Kulit dan daging buah dikupas, lendir difermentasi dalam bak air hingga luruh, lalu dijemur bersih.","Sangat bersih (clean), asiditas cerah dan tajam, body ringan, notes floral atau citrus."
Natural (Dry Process),"Ceri kopi utuh dijemur langsung di bawah sinar matahari hingga kering seperti kismis, baru dikupas.","Body tebal, rasa buah-buahan (fruity) yang pekat, tingkat kemanisan tinggi."
Honey (Pulped Natural),"Kulit luar dikupas, tetapi biji dijemur bersama sisa lendir (mucilage) yang masih menempel.","Kemanisan menyerupai madu atau karamel, keseimbangan yang baik antara body dan asiditas."
Anaerobic Fermentation,Kopi difermentasi di tangki kedap udara. CO2 dari kopi perlahan mendorong oksigen keluar melalui katup.,"Rasa buah tropis intens, winey (mirip anggur), kayu manis, body creamy."
Carbonic Maceration (CM),Ceri kopi utuh di tangki tertutup disuntik gas CO2 untuk secara aktif membuang oksigen keluar.,"Rasa kompleks dan tajam, memunculkan aroma bubblegum, persik, stroberi, dan floral."
Thermal Shock,Kopi dicuci dengan air bersuhu ekstrem secara bergantian (panas lalu langsung dingin) setelah fermentasi.,"""Mengunci"" aroma; sangat wangi, rasa buah yang juicy, dan clarity (kejernihan) sangat tinggi."
Co-Fermentation (Infused),"Bahan luar (buah persik, stroberi, rempah, dll.) ditambahkan ke dalam tangki saat fermentasi kopi.",Profil rasa langsung menyerupai bahan tambahan (misal: rasa stroberi atau peach tea yang kuat).
Lactic / Acetic,Fermentasi dengan kendali suhu dan pH ketat untuk merangsang dominasi Bakteri Asam Laktat atau Asetat.,Lactic: Tekstur milky/silky mirip yogurt. Acetic: Asiditas kompleks yang wine-like.
Koji Fermentation,Penaburan spora jamur Aspergillus oryzae (Koji) pada ceri kopi untuk memecah pati menjadi gula.,"Kemanisan yang luar biasa tebal, body sangat bertekstur, umami."
Cultured Yeast,Ragi komersial spesifik (seperti ragi wine atau sampanye) disuntikkan ke dalam tangki fermentasi.,"Ekstraksi sangat konsisten, bersih, menonjolkan karakter floral atau buah secara presisi."
Anoxic Fermentation,Fermentasi dengan kondisi vakum atau flushing gas Nitrogen sehingga nol oksigen sejak detik pertama.,"Sangat bersih (ultra-clean), asiditas buah tajam tanpa cacat rasa boozy (alkohol/tuak)."
Hermetic Sealed Natural,Ceri utuh dimasukkan ke kantong hermetis di tengah fase penjemuran untuk fermentasi mikro yang stabil.,"Sweetness sepekat selai, body sirup, menonjolkan profil buah gelap (dark fruits) dan karamel."
Mossto / Lixiviate,Cairan Mossto (jus kaya ragi dari fermentasi kopi sebelumnya) disuntikkan sebagai starter pada batch baru.,"Memperkuat karakter genetik ganda; luar biasa juicy, manis, kompleksitas meledak."
Cryo-Maceration,"Ceri kopi dibekukan di bawah nol derajat untuk memecah dinding sel, lalu dicairkan dan difermentasi.","Kemanisan seperti permen (candy-like), creamy, aroma beri merah yang sangat pekat."
Double / Multi-Stage,"Kopi melewati beberapa tahapan fermentasi berbeda (misal: anaerobik utuh, lalu aerobik setelah dikupas).","Rasa sangat berlapis (layered complexity), menggabungkan body tebal dengan kejernihan maksimal."
Ozone / UV Sterilization,Ceri disterilkan dengan air ozon atau sinar UV sebelum diberi ragi laboratorium untuk membunuh bakteri liar.,"Rasa yang benar-benar murni, tanpa off-flavor (rasa tanah/kayu), murni karakter genetik ragi dan kopi."